city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Coesfeld,51.9458,7.1675,Germany,DE,North Rhine-Westphalia,minor,36217.0,36217.0
Mühlhausen,51.2167,10.45,Germany,DE,Thuringia,minor,36200.0,36200.0
Wesseling,50.8207,6.9786,Germany,DE,North Rhine-Westphalia,,36146.0,36146.0
Kehl,48.5711,7.8089,Germany,DE,Baden-Württemberg,,36089.0,36089.0
Emsdetten,52.1728,7.5344,Germany,DE,North Rhine-Westphalia,,36012.0,36012.0
Tuttlingen,47.985,8.8233,Germany,DE,Baden-Württemberg,minor,35730.0,35730.0
Sankt Ingbert,49.3,7.1167,Germany,DE,Saarland,,35714.0,35714.0
Porta Westfalica,52.2167,8.9333,Germany,DE,North Rhine-Westphalia,,35671.0,35671.0
Sinsheim,49.25,8.8833,Germany,DE,Baden-Württemberg,,35442.0,35442.0
Meppen,52.6906,7.291,Germany,DE,Lower Saxony,minor,35373.0,35373.0
Limburg,50.3833,8.0667,Germany,DE,Hesse,minor,35243.0,35243.0
Ingelheim,49.9747,8.0564,Germany,DE,Rhineland-Palatinate,minor,35146.0,35146.0
Lage,51.9833,8.8,Germany,DE,North Rhine-Westphalia,,35047.0,35047.0
Cloppenburg,52.8478,8.0439,Germany,DE,Lower Saxony,minor,34913.0,34913.0
Winsen,53.3667,10.2167,Germany,DE,Lower Saxony,minor,34896.0,34896.0
Mörfelden-Walldorf,49.9896,8.5661,Germany,DE,Hesse,,34828.0,34828.0
Wermelskirchen,51.1392,7.2051,Germany,DE,North Rhine-Westphalia,,34765.0,34765.0
Datteln,51.6539,7.3417,Germany,DE,North Rhine-Westphalia,,34614.0,34614.0
Kempen,51.3658,6.4194,Germany,DE,North Rhine-Westphalia,,34597.0,34597.0
Saarlouis,49.3167,6.75,Germany,DE,Saarland,minor,34552.0,34552.0
Leer,53.2308,7.4528,Germany,DE,Lower Saxony,minor,34486.0,34486.0
Seelze,52.3961,9.5981,Germany,DE,Lower Saxony,,34442.0,34442.0
Crailsheim,49.1347,10.0706,Germany,DE,Baden-Württemberg,,34400.0,34400.0
Barsinghausen,52.3031,9.4606,Germany,DE,Lower Saxony,,34234.0,34234.0
Balingen,48.2731,8.8506,Germany,DE,Baden-Württemberg,minor,34217.0,34217.0
Zweibrücken,49.2494,7.3608,Germany,DE,Rhineland-Palatinate,minor,34209.0,34209.0
Viernheim,49.538,8.5792,Germany,DE,Hesse,,34175.0,34175.0
Steinfurt,52.1504,7.3366,Germany,DE,North Rhine-Westphalia,minor,34084.0,34084.0
Merseburg,51.3544,11.9928,Germany,DE,Saxony-Anhalt,minor,34080.0,34080.0
Hemer,51.3833,7.7667,Germany,DE,North Rhine-Westphalia,,34080.0,34080.0
Dietzenbach,50.0086,8.7756,Germany,DE,Hesse,,34019.0,34019.0
Radebeul,51.1033,13.67,Germany,DE,Saxony,,34008.0,34008.0
Bad Vilbel,50.1781,8.7361,Germany,DE,Hesse,,33990.0,33990.0
